Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.0,Thu Mar 15 09:50:25 +0000 2018,0.0,1.0,0.0,RT @BBCTwo: ? CONFIRMED: The final series of #Episodes starts Friday 30 March on @BBCTwo! @matt_leblanc @stephenmangan ?? https://t.co/PeBz…,42,@BBC
0.0,Thu Mar 15 09:00:08 +0000 2018,0.0,1.0,0.0,Meet the Maasai woman standing up to female genital mutilation. https://t.co/CWUQB81bUz,43,@BBC
0.0,Thu Mar 15 08:30:08 +0000 2018,0.0,1.0,0.0,"?? A farm dairy in south west Scotland believes it is leading the way for what it describes as 'ethical' cheese.
?… https://t.co/VyfVlaVR0u",44,@BBC
0.0,Thu Mar 15 08:00:04 +0000 2018,0.0,1.0,0.0,? When step-free access on London's Tube... isn't. https://t.co/62SPPru2ZP,45,@BBC
-0.6808,Wed Mar 14 21:14:04 +0000 2018,0.248,0.752,0.0,"No coffee after 2pm, no lie-ins and no phones in the bedroom...

One woman followed all the rules to find out what… https://t.co/EoQcnBXGQ4",46,@BBC
0.0,Wed Mar 14 20:00:03 +0000 2018,0.0,1.0,0.0,?? The sky's the limit! https://t.co/eQgP9MDBCj,47,@BBC
0.0,Wed Mar 14 19:10:00 +0000 2018,0.0,1.0,0.0,"“Remember to look up at the stars and not down at your feet.”

An extraordinary man whose work and legacy will live… https://t.co/iM2vDxd8ET",48,@BBC
-0.7964,Wed Mar 14 19:04:03 +0000 2018,0.351,0.649,0.0,Britain's most iconic dog is in crisis. Catherine Tate investigates the serious health problems affecting the Briti… https://t.co/pnTcQIQAi5,49,@BBC
0.0,Wed Mar 14 18:30:00 +0000 2018,0.0,1.0,0.0,"?? This is trippy. 

#TonesDronesAndArpeggios | Watch on @BBCiPlayer https://t.co/Ylvgi0X3XV",50,@BBC
0.0,Wed Mar 14 17:30:00 +0000 2018,0.0,1.0,0.0,Would you use a cup made of used chewing gum? https://t.co/3yFsUyeZAc,51,@BBC
0.8402,Wed Mar 14 16:43:32 +0000 2018,0.0,0.655,0.345,RT @BBCR1: Big thanks to #PiDay for giving us an excuse to re-share this video of Tom Hiddleston making it sound sexy ? https://t.co/1VZuCI…,52,@BBC
0.4019,Wed Mar 14 16:20:43 +0000 2018,0.0,0.876,0.124,"RT @BBCTwo: In a change to tonight’s schedule, we’ll now be showing a Horizon special from 1983 looking at Stephen Hawking's extraordinary…",53,@BBC
0.0,Wed Mar 14 14:38:04 +0000 2018,0.0,1.0,0.0,"?? From the behaviour of black holes to the origin of the universe, these are the discoveries that made Stephen Haw… https://t.co/Nep1Hu6Onj",54,@BBC
0.7783,Wed Mar 14 13:24:10 +0000 2018,0.0,0.726,0.274,"Broadcaster and comedian Jim Bowen, best known for hosting darts-based game show Bullseye in the 1980s and '90s, ha… https://t.co/4d3xxj5e3X",55,@BBC
0.6779,Wed Mar 14 13:00:06 +0000 2018,0.0,0.618,0.382,"Pi(?) = the most delicious number in the known universe. 
? #PiDay https://t.co/hjtJByH0XN",56,@BBC
0.561,Wed Mar 14 12:49:48 +0000 2018,0.0,0.826,0.174,"RT @BBCR1: ?? #Gregathlon is GO! ??

@GregJames is getting back on his bike to finish his HUGE challenge for @SportRelief. 

He starts his…",57,@BBC
0.6696,Wed Mar 14 12:17:18 +0000 2018,0.0,0.781,0.219,"RT @bbcgetinspired: ? DANCERS NEEDED! ?

Do you know a dancer who would love this? ?? #TuesdayThoughts #GetInspired @birminghamcg22 #Birmin…",58,@BBC
-0.802,Wed Mar 14 12:12:32 +0000 2018,0.231,0.769,0.0,RT @BBCFOUR: Ruth Ellis was only 28 when she became the last woman hanged to death in the UK – and it took place disturbingly recently. htt…,59,@BBC
0.3612,Wed Mar 14 12:03:05 +0000 2018,0.0,0.865,0.135,"? The Bard is credited with inventing several hundred English words. 

Test your knowledge of Bard-influenced corpo… https://t.co/V3IfPC0kDm",60,@BBC
0.8176,Wed Mar 14 11:59:37 +0000 2018,0.052,0.598,0.351,"RT @BBCRadio4: Here is a perfect example of Stephen Hawking's extraordinary ability to make serious science genuinely popular
A 90-second e…",61,@BBC
0.3612,Wed Mar 14 11:56:23 +0000 2018,0.0,0.828,0.172,"RT @bbcthree: ""Having vitiligo is like having something that nobody else has."" https://t.co/IG2a06mxGV",62,@BBC
0.8625,Wed Mar 14 11:56:14 +0000 2018,0.0,0.719,0.281,RT @bbcouch: George has autism and other health conditions - but his love of skiing is helping him take on the outside world ??? https://t.…,63,@BBC
0.0,Wed Mar 14 11:30:12 +0000 2018,0.0,1.0,0.0,"? Stephen Hawking: A life in pictures.
? ? https://t.co/0NOtTi7lyD https://t.co/Q1yeTunvnY",64,@BBC
0.0,Wed Mar 14 10:27:40 +0000 2018,0.0,1.0,0.0,"'You could ask my dad any question.'

In memory of Stephen Hawking, here's an earlier interview with his daughter L… https://t.co/6OQlwLfg2d",65,@BBC
0.0,Wed Mar 14 10:01:19 +0000 2018,0.0,1.0,0.0,RT @BBCArchive: Stephen Hawking first appeared on the BBC in the 1977 documentary The Key to the Universe: The Search for the Laws of Creat…,66,@BBC
0.5719,Wed Mar 14 09:00:05 +0000 2018,0.0,0.748,0.252,'I was homeless on these streets - I'm the perfect tour guide.' https://t.co/jxirkZzebu,67,@BBC
0.0,Wed Mar 14 08:35:41 +0000 2018,0.0,1.0,0.0,"Despite 8 million tonnes of plastic entering UK oceans each year, researchers can only account for where 1% of it e… https://t.co/qHNjcKK9Ap",68,@BBC
0.0,Wed Mar 14 07:07:28 +0000 2018,0.0,1.0,0.0,Stephen Hawking had once written that he had motor neurone disease for practically all his adult life but said that… https://t.co/6oyYB57iE6,69,@BBC
-0.5574,Wed Mar 14 07:03:36 +0000 2018,0.13,0.87,0.0,RT @BBCr4today: This morning: World renowned physicist Stephen Hawking has died at the age of 76. Here he is reading an extract from his 19…,70,@BBC
0.3612,Wed Mar 14 06:28:18 +0000 2018,0.116,0.683,0.201,"RT @BBCWorld: A brilliant mind,

wicked sense of humor

and a heart big enough to hold the universe. ??

Rest among the stars, Stephen Hawk…",71,@BBC
-0.5574,Wed Mar 14 06:21:50 +0000 2018,0.217,0.783,0.0,"? World renowned physicist Stephen Hawking has died at the age of 76.
https://t.co/WxYeUddUJB https://t.co/Sbl0zn1Dma",72,@BBC
0.0,Tue Mar 13 20:00:05 +0000 2018,0.0,1.0,0.0,"Wakanda has Black Panther. 

 Senegal has Sandale-man. https://t.co/T9JnB3pNeq",73,@BBC
0.0,Tue Mar 13 19:00:05 +0000 2018,0.0,1.0,0.0,? Charis is 19 years old and makes SWORDS for a living! https://t.co/kUUiAjIwNu,74,@BBC
0.0,Tue Mar 13 18:30:05 +0000 2018,0.0,1.0,0.0,"Microplastics are littering riverbeds across the UK, with hundreds of thousands of plastic particles per square met… https://t.co/cGhDdnQrTm",75,@BBC
0.6696,Tue Mar 13 17:30:06 +0000 2018,0.0,0.71,0.29,???? Ballet is STILL the love of Joyce's life at 98-years-old! https://t.co/nzr3Jy1wbS,76,@BBC
-0.296,Tue Mar 13 17:16:46 +0000 2018,0.087,0.913,0.0,"RT @bbcthree: ""No one needs airbags because you've got two"" 

.... and others things not to say to people who've had cosmetic procedures ht…",77,@BBC
0.3182,Tue Mar 13 17:13:13 +0000 2018,0.0,0.897,0.103,"RT @BBCR1: Now we have a trailer for #FantasticBeasts: The Crimes of Grindelwald, please can we take a moment to discuss Eddie Redmanyne's…",78,@BBC
-0.5255,Tue Mar 13 17:02:28 +0000 2018,0.188,0.72,0.092,"RT @bbcwritersroom: #Networking, a necessary evil - and why you've got to learn to embrace it! 

Check out @PhilipShelley1's latest blog fo…",79,@BBC
0.6808,Tue Mar 13 14:00:22 +0000 2018,0.054,0.702,0.244,"From making serious science genuinely popular to his sense of humour, here are seven reasons we ?? Stephen Hawking.… https://t.co/zWNEpoOttE",80,@BBC
0.4215,Tue Mar 13 13:00:08 +0000 2018,0.0,0.865,0.135,? This scheme to recycle unused paint has saved hundreds of tons of leftovers from ending up in landfill. https://t.co/Y6oau3hK0s,81,@BBC
0.0258,Tue Mar 13 12:26:59 +0000 2018,0.086,0.824,0.09,?? Fans of #KPop boyband #BigBang have been asked to stop sending fan mail to @IBGDRGN at the army base where he's… https://t.co/Swh0KwypL7,82,@BBC
0.0,Tue Mar 13 12:03:24 +0000 2018,0.0,1.0,0.0,"RT @bbcouch: During the Winter Olympics people across Britain were swept away by curling. And Aileen Neilson, captain of @ParalympicsGB’s c…",83,@BBC
0.25,Tue Mar 13 12:00:09 +0000 2018,0.0,0.9,0.1,"Shakespeare's plays are famous around the world, yet much about the playwright is still a mystery. 

Here's what we… https://t.co/McqCcs3mMj",84,@BBC
-0.431,Tue Mar 13 11:28:09 +0000 2018,0.192,0.808,0.0,"RT @bbcthree: ""Underwater you feel nothing. You're at peace with yourself.""  #perfectday2018 https://t.co/zHpEQSzk4H",85,@BBC
-0.4588,Tue Mar 13 11:26:58 +0000 2018,0.12,0.88,0.0,"RT @BBCiPlayer: Renowned shop owner and music producer, Blacker Dread, was amongst the first pioneers of sound system culture in the UK ??…",86,@BBC
0.0,Tue Mar 13 09:00:06 +0000 2018,0.0,1.0,0.0,"? Are we really born to prefer 'boys' or 'girls' toys? 

? The answer might lie with monkeys... https://t.co/oI014dsJHD",87,@BBC
0.6304,Tue Mar 13 08:30:07 +0000 2018,0.081,0.718,0.2,"? Accents can be subject to subtle forms of prejudice, but does that mean some are more appealing and trustworthy t… https://t.co/BgEMXgEzSr",88,@BBC
-0.0772,Tue Mar 13 08:00:03 +0000 2018,0.129,0.76,0.111,Marianne's search for her missing daughter could be straight out of the film #ThreeBillboards. https://t.co/dph6hhzlXi,89,@BBC
0.5515,Mon Mar 12 20:17:27 +0000 2018,0.0,0.771,0.229,"RT @BBCOne: ?? Edina, but kind of glad she's not our mum. https://t.co/lQINpsfQuA",90,@BBC
-0.7003,Mon Mar 12 20:16:22 +0000 2018,0.303,0.599,0.099,"RT @BBCnireland: Christopher suffered a severe, life-changing, brain injury. It changed his life and the life of his family. True North: My…",91,@BBC
0.2263,Mon Mar 12 19:23:01 +0000 2018,0.0,0.84,0.16,? These three women are leading the way in ocean exploration. https://t.co/qwkMRVMiNl,92,@BBC
0.2263,Mon Mar 12 18:30:06 +0000 2018,0.0,0.881,0.119,"?? A week’s worth of veggie dishes from @ChefTomKerridge, @NigelSlater, @Nigella_Lawson and The @HairyBikers.
?… https://t.co/VvTZRToT6L",93,@BBC
0.5859,Mon Mar 12 17:30:05 +0000 2018,0.0,0.84,0.16,"'There's nothing in the dictionary for that.'

??? The amazing moment eight London teens hear an opera singer in th… https://t.co/J448SabIeC",94,@BBC
0.0,Mon Mar 12 16:44:15 +0000 2018,0.0,1.0,0.0,"RT @BBCTwo: Meet Marshaal and Amal, two of just six women working at this hotel in Oman.

#AmazingHotels #IWD2018 https://t.co/5zdDAFBrZ9",95,@BBC
0.9022,Mon Mar 12 16:24:52 +0000 2018,0.0,0.643,0.357,"RT @BBCOne: To celebrate the life of the amazing Ken Dodd, tonight we will be showing:

22:45 - Arena: Ken Dodd's Happiness
23:45 - Talking…",96,@BBC
0.8429,Mon Mar 12 16:17:43 +0000 2018,0.0,0.702,0.298,RT @BBCnireland: AMAZING OPPORTUNITY: We're looking for female directors aged 18-30. Could you make a short film for BBC NI &amp; @bbcartsshow?…,97,@BBC
0.0,Mon Mar 12 16:07:16 +0000 2018,0.0,1.0,0.0,"? @Beyonce and Jay-Z are going on a joint tour called On The Run II, it has finally been confirmed. 
?… https://t.co/sG72fSqfRi",98,@BBC
-0.3612,Mon Mar 12 15:55:51 +0000 2018,0.116,0.884,0.0,"RT @BBCR1: ""Who is your least favourite Carpool Karaoke guest?""
 
@JKCorden always asks difficult questions... So @grimmers let celebs get…",99,@BBC
0.7096,Sat Mar 17 14:00:03 +0000 2018,0.0,0.753,0.247,Where better to spend #StPatricksDay than the place everybody knows your name? It’s just your luck that every singl… https://t.co/Fom5wmdENL,0,@CBS
